index,speaker,gender,discourse,phone,ipa,syllable,word,transcription,previous_phone,previous_phone_ipa,following_phone,following_phone_ipa,phone_begin,phone_end,syllable_begin,syllable_end,word_begin,word_end,F1,F2,F3,include,winner_auto,winner,winner_F1,winner_F2,winner_F3,winner_F4,comment
34,27,male,27-124992-0001,EH,ɛ,P.R.EH.R,prayer,P.R.EH1.R,R,ɹ,R,ɹ,6.56,6.69,6.44,6.86,6.44,6.86,478.18,1794.09,2254.94,,8,,,,,,
35,27,male,27-123349-0041,ER,ɚ,V.ER.Z,endeavours,IH0.N.D.EH1.V.ER0.Z,V,v,Z,z,5.37,5.49,5.27,5.55,5.03,5.55,458.77,1344.76,1647.98,,8,,,,,,
36,27,male,27-123349-0048,ER,ɚ,W.ER,were,W.ER0,W,w,IH,ɪ,10.28,10.33,10.22,10.33,10.22,10.33,440.37,1156.35,1769.76,,2,,,,,,
37,27,male,27-123349-0029,ER,ɚ,V.ER,government,G.AH1.V.ER0.M.AH0.N.T,V,v,M,m,15.66,15.72,15.6,15.72,15.4,15.98,509.11,1330.83,1693.75,,15,,,,,,
38,27,male,27-124992-0069,ER,ɚ,ER.TH,earth,ER1.TH,D,d,TH,θ,1.99,2.17,1.99,2.29,1.99,2.29,486.31,1412.67,1813.4,,5,,,,,,
39,27,male,27-124992-0007,ER,ɚ,F.ER,for,F.ER0,F,f,DH,ð,5.6,5.65,5.48,5.65,5.48,5.65,478.47,1231.54,2111.4,,4,,,,,,
40,27,male,27-124992-0049,EY,ej,DH.EY,they,DH.EY1,DH,ð,W,w,1.92,1.98,1.88,1.98,1.88,1.98,509.71,1808.69,2492.39,,7,,,,,,
41,27,male,27-123349-0049,EY,ej,B.EY.T,debate,D.AH0.B.EY1.T,B,b,T,t,9.42,9.58,9.3,9.7,9.22,9.7,499.01,2010.62,2629.08,,7,,,,,,
42,27,male,27-123349-0017,EY,ej,S.T.EY.N.D,abstained,AH0.B.S.T.EY1.N.D,T,t,N,n,3.74,3.92,3.56,4.03,3.43,4.03,561.09,1890.02,2486.87,,8,,,,,,
43,27,male,27-123349-0047,EY,ej,T.EY,detaining,D.IH0.T.EY1.N.IH0.NG,T,t,N,n,14.8,14.89,14.66,14.89,14.57,15.04,562.86,1964.74,2546.4,,13,,,,,,
44,27,male,27-123349-0045,EY,ej,M.EY.D,made,M.EY1.D,M,m,D,d,7.79,7.89,7.72,7.92,7.72,7.92,490.65,1906.91,2469.67,,9,,,,,,
45,27,male,27-124992-0015,IH,ɪ,S.T.R.IH.P.T,stripped,S.T.R.IH1.P.T,R,ɹ,P,p,0.58,0.63,0.38,0.78,0.38,0.78,451.1,1624.68,2443.36,,6,,,,,,
46,27,male,27-123349-0018,IH,ɪ,IH.K.S,exclusion,IH0.K.S.K.L.UW1.ZH.AH0.N,IY,i,K,k,0.58,0.65,0.58,0.79,0.58,1.19,440.21,1948.98,2456.88,,7,,,,,,
47,27,male,27-123349-0033,IH,ɪ,V.IH,vigorous,V.IH1.G.ER0.AH0.S,V,v,G,ɡ,3.42,3.52,3.38,3.52,3.38,3.93,436.64,1760.7,2438.35,,11,,,,,,
48,27,male,27-123349-0022,IH,ɪ,IH.F,if,IH1.F,M,m,F,f,4.28,4.35,4.28,4.43,4.28,4.43,491.87,1784.4,2427.65,,3,,,,,,
49,27,male,27-123349-0014,IH,ɪ,L.IH,little,L.IH1.T.AH0.L,L,l,T,t,3.98,4.05,3.91,4.05,3.91,4.21,507.25,1399.4,2801.12,,5,,,,,,
